"","Price","Oil","Gas","Coal","EurDol","Ibex35","Demand"
"1",3.188083333,22.43276977,14.40098603,38.35157472,1.1346873,8.3976,477.3856
"2",4.953666667,22.27262669,19.02746726,38.35157472,1.106439478,8.3771,609.1261
"3",4.730916667,22.65382913,18.48417013,38.35157472,1.106684374,8.5547,650.3715
"4",4.531,23.67656913,18.30143156,38.35157472,1.116819299,8.4631,647.0499
"5",5.141875,23.67209433,14.55602196,38.35157472,1.122964627,8.1773,627.9698
"6",6.322083333,23.60534291,15.22484633,38.35157472,1.122460433,8.1866,693.2467
"7",7.0525,22.65441094,16.23111111,38.35157472,1.120950566,8.0661,694.2574
"8",9.730208333,22.12369514,14.0845755,38.35157472,1.122460433,7.9354,691.1133
"9",10.37575,22.51373472,13.15908723,38.35157472,1.121201928,7.9831,688.9688
"10",8.023791667,21.16052425,12.04807536,38.35157472,1.120197155,7.8003,656.877
"11",8.759333333,21.13875813,11.7404704,38.35157472,1.120824927,7.9487,680.3921
"12",8.845583333,20.98219349,13.07742461,38.35157472,1.134172621,7.8041,680.2362
"13",8.084375,20.63726046,12.6171875,38.35157472,1.13391541,7.9775,688.7449
"14",7.663583333,20.62429058,12.35629376,38.35157472,1.13507378,8.0088,688.0963
"15",7.66375,20.7239819,11.67966212,38.35157472,1.131221719,7.9025,664.3358
"16",6.481791667,21.17780294,11.83214748,38.35157472,1.132502831,8.0331,677.0134
"17",6.591708333,21.33017164,12.18281477,38.35157472,1.129177958,8.0783,663.0821
"18",6.315958333,21.56952207,12.09110066,38.35157472,1.14064104,8.2133,648.0817
"19",5.704833333,21.97852938,12.86973555,38.35157472,1.154334526,8.185,641.609
"20",5.801958333,23.01235719,11.68307087,38.35157472,1.165772907,8.2731,638.6142
"21",5.299625,22.33302412,11.2512283,38.35157472,1.159554731,8.1784,653.753
"22",4.747458333,21.650081,10.36661211,38.35157472,1.157139551,8.0197,657.2061
"23",4.822791667,22.07942573,10.45655376,38.35157472,1.157809425,8.0504,646.4494
"24",4.927541667,22.82205746,9.642622951,39.45783133,1.158480074,8.1711,636.0298
"25",4.122125,23.43822304,10.26406429,39.45783133,1.156871819,8.0143,629.3643
"26",4.520333333,22.91834619,9.339329518,39.45783133,1.151675688,7.8527,634.1318
"27",4.302333333,23.04939982,9.710878798,39.45783133,1.154201293,7.7081,638.0574
"28",3.838625,22.4145891,9.39177102,39.45783133,1.154201293,7.8724,637.5639
"29",4.078708333,22.89473684,9.366003558,39.45783133,1.14416476,7.8298,646.1466
"30",3.966,22.83375028,8.435880829,39.45783133,1.137138958,7.8197,615.7444
"31",3.737208333,24.84862333,8.890156454,39.45783133,1.14246544,7.7878,635.6193
"32",3.800666667,24.52181881,9.336283186,39.45783133,1.145344176,7.8672,637.4875
"33",3.848666667,24.12285747,9.660265879,39.45783133,1.150350857,8.0214,616.2331
"34",3.901583333,23.84836301,9.386382281,39.45783133,1.148765078,7.9204,642.3115
"35",4.108541667,23.08663224,9.21777632,39.45783133,1.147446931,7.8324,647.1392
"36",4.118916667,23.21675104,9.167349615,39.45783133,1.150483203,7.7086,663.5985
"37",4.150041667,22.2349308,9.465161923,39.45783133,1.143772161,7.7164,660.8893
"38",3.977916667,23.22721526,9.385749386,39.45783133,1.149293185,7.7365,651.9557
"39",3.756625,23.02503716,8.875265653,39.45783133,1.143249114,7.6624,644.0354
"40",3.808083333,22.67308574,9.025188093,39.45783133,1.146263182,7.7751,613.302
"41",3.687666667,22.97857636,8.873933027,39.45783133,1.151808339,7.847,634.9726
"42",3.79525,23.9680888,9.419672131,39.45783133,1.156203029,8.1014,632.3776
"43",3.574416667,23.96254768,9.275955166,39.45783133,1.15593573,8.1355,624.1296
"44",3.663833333,25.15266736,9.768966082,39.45783133,1.152206475,8.2307,634.5639
"45",3.83325,24.9624234,9.458750205,39.62307781,1.156203029,8.385,641.3208
"46",3.792166667,25.62773554,8.719921427,39.62307781,1.151808339,8.3072,663.3911
"47",4.063666667,25.37878788,8.53877551,39.62307781,1.147842057,8.3205,659.4218
"48",4.1555,26.35782748,8.326034063,39.62307781,1.141031492,8.3822,650.1987
"49",3.94675,25.37228601,8.00064914,39.62307781,1.136751165,8.3697,640.2108
"50",3.946791667,26.4729436,8.511295303,39.62307781,1.144033863,8.3179,597.2638
"51",3.953875,25.99335853,8.551076574,39.62307781,1.145081873,8.2259,633.6589
"52",3.8405,27.0208381,8.887273902,39.62307781,1.144950767,8.199,631.9063
"53",3.7075,26.99079859,10.37526172,39.62307781,1.135976372,8.2533,622.7167
"54",3.518583333,26.99649836,9.002092387,39.62307781,1.129560601,8.3188,613.7086
"55",3.536208333,27.07006369,8.684807256,39.62307781,1.137397634,8.3947,574.3169
"56",3.542083333,27.76078831,8.922504449,39.62307781,1.132631102,8.4713,537.2423
"57",3.763541667,28.11436351,8.069722402,39.62307781,1.134558657,8.3901,593.2673
"58",4.02175,27.50368606,7.938511327,39.62307781,1.134172621,8.3344,594.3023
"59",3.776,28.23194997,7.994812774,39.62307781,1.137009665,8.346,590.6834
"60",3.433125,28.2566503,8.120619397,39.62307781,1.141682841,8.1672,559.2748
"61",3.306208333,28.15611766,8.400130336,39.62307781,1.144557628,8.1232,576.0061
"62",3.135291667,28.73313515,8.092523212,39.62307781,1.143379831,8.158,569.4052
"63",2.663166667,29.04630903,7.492659054,39.62307781,1.146263182,8.2497,491.9557
"64",2.55225,29.04630903,7.492659054,39.62307781,1.146263182,8.2497,454.9785
"65",2.806333333,29.04630903,7.492659054,39.62307781,1.146263182,8.2497,491.9082
"66",3.407083333,30.69656271,6.888197741,39.62307781,1.138174368,8.2021,581.8688
"67",3.495125,30.35328865,5.891194249,39.62307781,1.135976372,8.2361,610.8307
"68",3.737083333,30.5851667,5.601889559,39.62307781,1.134044001,8.1647,616.3163
"69",3.575625,28.89824721,6.200816327,37.49146369,1.138174368,8.1701,607.442
"70",3.765208333,30.0296195,6.97286695,37.49146369,1.139211666,7.9761,581.8096
"71",3.963208333,29.07680018,7.282377919,37.49146369,1.141161703,8.0385,607.1615
"72",4.06225,28.56330984,6.82181937,37.49146369,1.13662196,8.0982,615.9888
"73",4.175333333,27.54150557,6.939774767,37.49146369,1.137138958,7.9711,630.4403
"74",4.162708333,26.41145064,7.030204082,37.49146369,1.135976372,8.0273,627.1918
"75",4.17875,26.57350602,7.11463096,37.49146369,1.136105431,8.1169,600.0895
"76",4.268625,27.29751221,6.75481554,37.49146369,1.135976372,8.3535,606.5823
"77",4.328291667,28.44594595,6.859141184,37.49146369,1.126126126,8.3938,603.3545
"78",4.2715,29.11748173,7.089697758,37.49146369,1.124227094,8.3481,597.6387
"79",4.34225,29.10195814,6.583658854,37.49146369,1.125365744,8.4204,592.4959
"80",4.119333333,29.22765143,5.803193223,37.49146369,1.125872551,8.3635,554.7753
"81",4.285125,29.5987376,6.082844097,37.49146369,1.127141569,8.3569,570.4416
"82",4.159416667,29.46468736,6.042276423,37.49146369,1.124606388,8.325,579.5813
"83",3.724291667,29.51276619,6.806409841,37.49146369,1.1149515,8.1711,577.7803
"84",4.317875,29.33898116,7.330419297,37.49146369,1.114702932,8.182,581.1297
"85",4.378625,29.70789998,7.575169738,37.49146369,1.106439478,8.1463,557.9428
"86",4.45575,29.95115453,7.941176471,37.49146369,1.110124334,8.1544,574.4569
"87",2.851416667,29.95115453,7.941176471,37.49146369,1.110124334,8.1544,445.873
